"","YM","DelayCountYM"
"3","2012-06",551
"4","2012-07",548
"5","2012-08",414
"6","2012-09",368
"7","2012-10",336
"8","2012-11",357
"9","2012-12",342
"10","2013-01",327
"11","2013-02",278
"12","2013-03",305
"13","2013-04",335
"14","2013-05",340
"15","2013-06",339
"16","2013-07",417
"17","2013-08",361
"18","2013-09",315
"19","2013-10",343
"20","2013-11",404
"21","2013-12",324
"22","2014-01",471
"23","2014-02",340
"24","2014-03",412
"25","2014-04",330
"26","2014-05",403
"27","2014-06",491
"28","2014-07",434
"29","2014-08",510
"30","2014-09",424
"31","2014-10",478
"32","2014-11",598
"33","2014-12",761
"34","2015-01",768
"35","2015-02",756
"36","2015-03",811
"37","2015-04",573
"38","2015-05",548
"39","2015-06",586
